Molly 3 500.000000 45 a desperate
Alfred 2 1 1000.000000 80 miser
Phoebe 8 600.000000 70 a desperate
Oliver 3 4 1000.000000 150 miser
Scarlett 4 300.000000 72 a desperate
Alastair 5 3 2500.000000 120 miser
Delilah 4 1100.000000 120 i normal
Jacob 7 3 5000.000000 85 geek
Charlotte 5 1600.000000 110 i normal
Balthazar 7 4 3000.000000 150 geek
Sharon 6 2000.000000 99 i normal
Callum 8 5 4000.000000 160 geek
Emily 9 3000.000000 150 i normal
John 6 7 4000.000000 80 geek
Chloe 5 2000.000000 120 i normal
Jasper 2 1 3000.000000 96 geek
Mia 7 1600.000000 113 i normal
Jack 5 6 3000.000000 90 geek
Maisie 7 6000.000000 65 r choosy
Alfie 9 5 7000.000000 72 generous
Olivia 8 5000.000000 32 r choosy
Lewis 8 2 6000.000000 95 generous
Jessica 10 4500.000000 30 r choosy
Alphonse 1 3 8000.000000 76 generous
Eve 6 3500.000000 160 i choosy
Ivor 3 5 6000.000000 69 generous
Abigail 10 4700.000000 37 r choosy
Harvey 10 8 5000.000000 45 generous
